name,rubro,email,phone,whatsapp,best_outreach_number,address,city,province,website,instagram,facebook,linkedin,source,lead_score,lead_tier,contact_channel
Dormi San Martín,Colchones,cutipepachicha@hotmail.com,+5491159784383,+5491159784383,+5491159784383,Belgrano 4071,San Martín - Buenos Aires,,www.colchoneriasanmartin.com.ar,https://www.instagram.com/dormi.sanmartin,https://www.facebook.com/colchonesdormi,,Paginas Amarillas,93,A,whatsapp
Dormihome,Colchones,dormihome@hotmail.com,+543884310627,+5493884176580,+5493884176580,Gral. Balcarce 495,San Salvador de Jujuy - Jujuy,,http://www.colchoneriasdormihome.com,https://www.instagram.com/dormi.home,https://www.facebook.com/dormihome,,Paginas Amarillas,93,A,whatsapp
Mg Todo para Tu Hogar,Colchones,marcosgerez01@outlook.com,+5491151638797,+5491151638797,+5491151638797,M De Oliden 5376,Del Viso - Buenos Aires,,http://www.mgtodoparatuhogar.com,https://www.instagram.com/mgtodoparatuhogar/,https://www.facebook.com/YoYVosLlendoJuntosAlMonumentalPensalo,,Paginas Amarillas,93,A,whatsapp
Ortopedia Blinda,Colchones,ortopediablinda@gmail.com,+541145666441,+5491140228664,+5491140228664,Remedios 4384,Parque Avellaneda - Ciudad de Buenos Aires,,https://ortopediablinda.com/,https://www.instagram.com/ortopediablinda/,https://www.facebook.com/ortopedia.blinda.3,,Paginas Amarillas,93,A,whatsapp
Ortopedia Géminis,Colchones,presupuestos@ortopediageminis.com,+541149535834,+5491168904219,+5491168904219,B Mitre 2474,Once (Balvanera) - Ciudad de Buenos Aires,,http://www.ortopediageminis.com,https://www.instagram.com/OrtopediaGeminis,https://www.facebook.com/ortopedia.sa.77,,Paginas Amarillas,93,A,whatsapp
Ortopedia Laferrere,Colchones,mecaplant@hotmail.com,+541144675175,+5491134463489,+5491134463489,L Piedrabuena 6050,Laferrere - Buenos Aires,,http://www.ortopedialafe.com,https://www.instagram.com/ortopedialaferrere,https://www.facebook.com/ortopedia-laferrere-287184301728919,,Paginas Amarillas,93,A,whatsapp
Ortopedia y Cirugía Pedernera,Colchones,laortopedia@hotmail.com.ar,+543584082034,+5493586545418,+5493586545418,Pedernera 26,Río Cuarto - Cordoba,,http://www.ortopediapedernera.com,https://www.instagram.com/ortopediapedernera,https://www.facebook.com/ortopediapedernerariocuarto,,Paginas Amarillas,93,A,whatsapp
Re-Viví Colchones y Sommiers,Colchones,ventas@revivi.com.ar,+5493585624406,+5493584391562,+5493584391562,Av Constitución 362,Río Cuarto - Cordoba,,https://www.revivi.com.ar/,https://www.instagram.com/revivi.colchoneria/,https://www.facebook.com/revivi.colchoneria,,Paginas Amarillas,93,A,whatsapp
Colegio Escuela San Simón,Colegios,escuelasansimon@gmail.com,+542214277292,+5492214277292,+5492214277292,45 320,La Plata - Buenos Aires,,https://www.sansimon.com.ar/,https://www.instagram.com/escuelasansimon/,https://www.facebook.com/escuelasansimonlaplata,,Paginas Amarillas,93,A,whatsapp
Dr Scholl'S -Cba Centro Integral de Podología,Colegios,drschollscba@gmail.com,+5493516811459,+5493516811459,+5493516811459,Tucuman 267,Córdoba - Cordoba,,http://www.drschollspodologia.com,https://www.instagram.com/drschollscordoba/,https://www.facebook.com/drschollscordoba,,Paginas Amarillas,93,A,whatsapp
Secundaria San Simón,Colegios,sansimonsecundaria@hotmail.com,+542214231729,+5492214277292,+5492214277292,45 318,La Plata - Buenos Aires,,https://www.sansimon.com.ar/,https://www.instagram.com/escuelasansimon/,https://www.facebook.com/escuelasansimonlaplata,,Paginas Amarillas,93,A,whatsapp
Ahora Si Delivery,Comidas Rapidas,rotiseriaahorasi@hotmail.com,+542984435005,+5492984885026,+5492984885026,B Mitre 435,General Roca - Rio Negro,,www.parrillayrotiseriaahorasi.com,https://www.instagram.com/ahora_si_rotiseria/?hl=es,https://www.facebook.com/rotiseriayparrillaahorasi,,Paginas Amarillas,93,A,whatsapp
Lo de Claudio,Comidas Rapidas,matiasggalante@gmail.com,+541148331965,+5491122539298,+5491122539298,Av R S Ortiz 2136,Palermo - Ciudad de Buenos Aires,,http://www.lodeclaudio.com,https://www.instagram.com/lodeclaudio/?hl=es-la,https://www.facebook.com/lodeclaudiopolloalabrasa/,,Paginas Amarillas,93,A,whatsapp
My Sushi,Comidas Rapidas,emiliano.myshusi@gmail.com,+541145438357,+5491162856906,+5491162856906,Mendoza 3738,Belgrano - Ciudad de Buenos Aires,,http://www.mysushifusion.com,https://www.instagram.com/explore/locations/591928089/my-sushi-fusion,https://www.facebook.com/mysushibelgranor,,Paginas Amarillas,93,A,whatsapp
Alfamedic Ortopedia 24Hs,Compresores,nataliasferrante@hotmail.com,+5491132194320,+5491132194320,+5491132194320,J B Justo 2866,Adrogué - Buenos Aires,,http://www.ortopedialfamedic.com,https://www.instagram.com/ortopedia_zonasur24hs/,https://www.facebook.com/Ortopedia-adrogue-abierto-las-24hs-1532194320adrogue-700739960387801,,Paginas Amarillas,93,A,whatsapp
Aspen Motors SA - Concesionario Oficial Ford,Compresores,gmendoza@aspenmotors.com.ar,+543489448098,+5493489448098,+5493489448098,Ruta 9 S/N,Campana - Buenos Aires,,https://www.aspenmotors.com.ar/,https://www.instagram.com/aspenmotors/,https://www.facebook.com/aspenmotors,,Paginas Amarillas,93,A,whatsapp
Chevrano Repuestos,Compresores,chevranorepuestos@hotmail.com,+541142629135,+5491125325445,+5491125325445,Av San Martín 1629,Lanús - Buenos Aires,,http://www.chevranorepuestos.com,https://www.instagram.com/chevranorepuestos/?hl=es,https://www.facebook.com/chevranorepuestos/,,Paginas Amarillas,93,A,whatsapp
Fernández Insua SA,Compresores,mardelplata@fdez-insua.com.ar??,+542234899060,+5492233004122,+5492233004122,Magallanes 3852,Mar del Plata - Buenos Aires,,http://www.fernandezinsua.com,https://www.instagram.com/fernandez_insua/?hl=es,https://www.facebook.com/profile.php?id=100068375833405&sk=about,,Paginas Amarillas,93,A,whatsapp
Mosconi Gas - Repuestos Legitimos,Compresores,romina_acebedo@hotmail.com,+541145732746,+5491133987025,+5491133987025,Av Mosconi 2876,Villa Pueyrredón - Ciudad de Buenos Aires,,http://www.mosconigas.com,https://www.instagram.com/mosconigas/,https://www.facebook.com/MosconiGas/,,Paginas Amarillas,93,A,whatsapp
Topgas Gnc,Compresores,installersgnc@gmail.com,+5492236200828,+5492236200828,+5492236200828,Av Champagnat 2072,Mar del Plata - Buenos Aires,,http://www.topgasgnc.com,https://www.instagram.com/topgasgnc/,https://www.facebook.com/gncinstallers,,Paginas Amarillas,93,A,whatsapp
Compu Powernet,Computacion,netpowerip@gmail.com,+541149231158,+5491121797444,+5491121797444,Av Asamblea 1148,Parque Chacabuco - Ciudad de Buenos Aires,,http://www.compupowernet-pc.com,https://www.instagram.com/compupowernet/,https://www.facebook.com/compu-powernet-102436064580446,,Paginas Amarillas,93,A,whatsapp
Eslobenia Muebles,Computacion,mariano_yepe@hotmail.com,+5491127536941,+5491127536941,+5491127536941,M B Encalada 892,Ciudad Madero - Buenos Aires,,http://www.esloveniamuebles.com,https://www.instagram.com/eslovenia_muebles/,https://www.facebook.com/esloveniamueblescarpinteros/,,Paginas Amarillas,93,A,whatsapp
Librerias Alvear,Computacion,libreriasalvear@gmail.com,+541146250321,+5491162070012,+5491162070012,M T De Alvear 3284,Isidro Casanova - Buenos Aires,,https://libreriasalvear.com/,https://www.instagram.com/libreriasalvear/,https://www.facebook.com/libreriasalvearcasanova/,,Paginas Amarillas,93,A,whatsapp
Muebles Rusticos Lc,Computacion,martinacosta0022@gmail.com,+5493521479224,+5493521479224,+5493521479224,Corrientes 952,Villa María - Cordoba,,http://www.mueblesrusticoslc.com,https://www.instagram.com/muebles_rusticos_lc,https://www.facebook.com/61571833022612,,Paginas Amarillas,93,A,whatsapp
Automotores Plaza,Concesionarias,jgastonfarnos@live.com.ar,+542262250119,+5492262551768,+5492262551768,Av 75 1885,Necochea - Buenos Aires,,http://www.automotoresplaza.com,https://www.instagram.com/automotores.plaza/,https://www.facebook.com/automotoresplaza,,Paginas Amarillas,93,A,whatsapp
Jorge Giorgi S.A.,Concesionarias,franciscovalle@jorgegiorgi.com,+543468471876,+5493468587058,+5493468587058,Av Tte Gral Perón 1452,Monte Maíz - Cordoba,,http://jorgegiorgi.com,https://www.instagram.com/jorgegiorgirenault,https://www.facebook.com/jorgegiorgirenault,,Paginas Amarillas,93,A,whatsapp
Ledian- Concesionario Oficial Fiat Catamarca,Concesionarias,lediansa@gmail.com,+543834437373,+5493834930526,+5493834930526,. Av Belgrano 1600,Catamarca - Catamarca,,https://ledianfiat.com.ar/,https://www.instagram.com/lediansa/,https://www.facebook.com/lediansa,,Paginas Amarillas,93,A,whatsapp
Monsalvo Maquinarias,Concesionarias,recepcion@monsalvomaquinarias.com.ar,+543468472315,+5493468512412,+5493468512412,Ruta 11 S/N,Monte Maíz - Cordoba,,http://www.monsalvomaquinarias.com.ar/,https://www.instagram.com/monsalvomaquinariasok/,https://www.facebook.com/monsalvomaquinarias,,Paginas Amarillas,93,A,whatsapp
Distribuidora Don Avelino,Confiterias,distribuidoraimperio@hotmail.com,+543584630655,+5493584261966,+5493584261966,Alsina 898,Río Cuarto - Cordoba,,https://www.instagram.com/distribuidoradonavelinor4/,https://www.instagram.com/distribuidoradonavelinor4/,https://www.facebook.com/Distribuidoraimperiosrl,,Paginas Amarillas,93,A,whatsapp
Panadería y Confitería el Principito,Confiterias,belenmartinez23@yahoo.com.ar,+543454211930,+5493454074507,+5493454074507,A Del Valle 92,Concordia - Entre Rios,,http://www.elprincipitopanaderia.com,https://www.instagram.com/elprincipitocafeteria/,https://www.facebook.com/elprincipito2008,,Paginas Amarillas,93,A,whatsapp
Atilio Bard,Construccion,atilio_bard@hotmail.com,+5492235904373,+5492235904374,+5492235904374,Av. de los Inmigrantes 377,Mar del Plata - Buenos Aires,,https://www.atiliobard.com/,https://www.instagram.com/atiliobard_metalurgica/,https://www.facebook.com/atiliobardmetalurgica,,Paginas Amarillas,93,A,whatsapp
Cementerio Crematorio Parque los Álamos,Construccion,info.parquelosalamos@gmail.com,+543514991010,+5493515288796,+5493515288796,ruta 74 km 13.5,Córdoba - Cordoba,,http://www.parquelosalamos.com.ar,https://www.instagram.com/parquelosalamos/,https://www.facebook.com/112886610094820,,Paginas Amarillas,93,A,whatsapp
Cochería Pache Hnos SA,Construccion,cocheria@pachehnos.com.ar,+541146963388,+5491154221100,+5491154221100,Av E Perón 1122,Morón - Buenos Aires,,http://www.pachemascotas.com,https://www.instagram.com/pache,https://www.facebook.com/Cocher%C3%ADa-Pache-Hnos-103672650394235/,,Paginas Amarillas,93,A,whatsapp
Distribuidora Brown,Construccion,distribuidorabrown@hotmail.com,+543471422564,+5493471591628,+5493471591628,Alte Brown 1234,Cañada de Gómez - Santa Fe,,http://www.distribuidora-brown.com,https://www.instagram.com/dist.brown,https://www.facebook.com/distribuidora-brown-2036717359904743,,Paginas Amarillas,93,A,whatsapp
Metsider SA,Construccion,metsider@hotmail.com,+5491168821506,+5491138442312,+5491138442312,Av. Juan B. Justo 2004,Canal San Fernando - Buenos Aires,,http://www.metsider.com,https://www.instagram.com/metsider,https://www.facebook.com/metsider,,Paginas Amarillas,93,A,whatsapp
Mudanzas Acuario,Construccion,info@mudanzasacuario.com,+5493516950035,+5493516129602,+5493516129602,Ernesto Soneira 2590,Córdoba - Cordoba,,http://www.mudanzasacuario.com,https://www.instagram.com/mudanzasacuario/,https://www.facebook.com/100057453339135,,Paginas Amarillas,93,A,whatsapp
E&A Construcciones,Construcciones Empresas,eyaconstruccionesyservicio@gmail.com,+5492994574245,+5492994574245,+5492994574245,PARRA 2653,Parque Industrial - Neuquen,,http://www.eyaconstructora.com,https://www.instagram.com/eyaconstruccionesyservicios/,https://www.facebook.com/EyAConstruc,,Paginas Amarillas,93,A,whatsapp
Grupo Arroba,Construcciones Empresas,info@grupoarroba.com.ar,+542914563032,+5492914603888,+5492914603888,D'Orbigny 387,Bahía Blanca - Buenos Aires,,http://www.grupoarroba.com.ar,https://www.instagram.com/grupoarroba,https://www.facebook.com/grupoarrobasrl,,Paginas Amarillas,93,A,whatsapp
Materiales para la Construcción San José,Construcciones Empresas,corralonsanjose@hotmail.com,+5491138783614,+5491138783614,+5491138783614,A Berro 2958,Tablada - Buenos Aires,,http://www.sanjosemateriales.com,https://www.instagram.com/corralonsanjosetablada/,https://www.facebook.com/corralonsanjosetablada,,Paginas Amarillas,93,A,whatsapp
Nahuel Greco Diseño Mas Construcción,Construcciones Empresas,ngreco.construcciones@gmail.com,+5492235126494,+5492235126494,+5492235126494,Olavarria 4836,Mar del Plata - Buenos Aires,,http://www.ngconstructora.com,https://www.instagram.com/ng.constructora/,https://www.facebook.com/NG-construcciones/61585341887144/,,Paginas Amarillas,93,A,whatsapp
Bonader Jorge Luis,Constructoras,xiskoconstrucciones@hotmail.com,+5492235692076,+5492235692076,+5492235692076,T Bronzini 2353,Mar del Plata - Buenos Aires,,http://xiskoconstrucciones.com/,https://www.instagram.com/xiskoconstrucciones/,https://www.facebook.com/lamarinmo/,,Paginas Amarillas,93,A,whatsapp
Company Service,Constructoras,villalbaatilio000@gmail.com,+5492995121395,+5492995121366,+5492995121366,Bergantín Belgrano 358,Rada Tilly - Chubut,,http://www.companyservicesrl.com,https://www.instagram.com/ayc.hermanos.oficial/,https://www.facebook.com/ayc.hermanos.ok,,Paginas Amarillas,93,A,whatsapp
Maganor Construcciones,Constructoras,maganorconstrucciones@gmail.com,+5491140471766,+5491140471766,+5491140471766,Calle 517 3610,Florencio Varela - Buenos Aires,,http://www.maganorconstrucciones.com,https://www.instagram.com/maganorconstrucciones/?hl=es-la,https://www.facebook.com/magganor,,Paginas Amarillas,93,A,whatsapp
Northaus,Constructoras,northauspropiedades@gmail.com,+5491134181701,+5491134181701,+5491134181701,Pje De La Ciencia 75,Nordelta - Buenos Aires,,http://www.northausgroup.com,https://www.instagram.com/northaus.propiedades,https://www.facebook.com/Northaus.propiedades,,Paginas Amarillas,93,A,whatsapp
Techos Fernandito,Constructoras,techosfernandito@hotmail.com,+5492494597861,+5492494597861,+5492494597861,Jujuy 331,Tandil - Buenos Aires,,https://www.instagram.com/techosfernandito/,https://www.instagram.com/techosfernandito/,https://www.facebook.com/techos.fernandito,,Paginas Amarillas,93,A,whatsapp
Adriana Carina Eschattine,Consultoras,info@carinaeschattine.com,+5491165514899,+5491169630134,+5491169630134,Gral Conesa 1533,Benavídez - Buenos Aires,,http://www.adrianacarinaeschattine.com,https://www.instagram.com/carinaeschattine/?hl=es,https://www.facebook.com/capacitacion.ace,,Paginas Amarillas,93,A,whatsapp
Flor de Miel Jabones Artesanales,Consultoras,fabiananataliamoreira8@gmail.com,+5493446374836,+5493446374836,+5493446374836,1 De Mayo S/N,Aldea San Antonio - Entre Rios,,http://www.flordemieljabonesartesanales.com,https://www.instagram.com/jabones_artesanales88/#,https://www.facebook.com/profile=61575352392788,,Paginas Amarillas,93,A,whatsapp
Dra Claudia Guitelman,Consultorios Medicos,cgguitelman@yahoo.com.ar,+541149036596,+5491161581012,+5491161581012,Av Rivadavia 4702,Palermo Hollywood - Ciudad de Buenos Aires,,http://www.guitelmanclaudia.com,https://www.instagram.com/gynovida?igsh=MTV3aTUwOXY5YXpxYQ%3D%3D&utm_source=qr,https://www.facebook.com/claudia.gabriela.guitelman/,,Paginas Amarillas,93,A,whatsapp
Dra Garro,Consultorios Medicos,draceciliagarro@gmail.com,+5491127950135,+5491127950135,+5491127950135,año 1852 486,El Palomar - Buenos Aires,,http://www.draceciliagarro.com,https://www.instagram.com/doctoracgarro/?hl=es-la,https://www.facebook.com/doctoraceciliagarro,,Paginas Amarillas,93,A,whatsapp
Dra. Marisa Ces,Consultorios Medicos,marisa_doki@gmail.com,+541148490875,+5491140725336,+5491140725336,Pacífico Rodríguez 4872 6 D,Villa Ballester - Buenos Aires,,http://www.marisaces.com,https://www.instagram.com/dra.marisaces/,https://www.facebook.com/dramarisaces,,Paginas Amarillas,93,A,whatsapp
Dra. María Cecilia López,Consultorios Medicos,consultorio.dracecilialopez@gmail.com,+5491176103562,+5491576103562,+5491576103562,Martin y Omar 136 1 b,San Isidro - Buenos Aires,,http://www.dracecilialopez.com,https://www.instagram.com/dra_cecilia_lopez/,https://www.facebook.com/dracecilia.lopez.9,,Paginas Amarillas,93,A,whatsapp
Medicraft,Consultorios Medicos,clinicamedicraftsalud@gmail.com,+5491169821020,+5491169821020,+5491169821020,M B Encalada 2433,Ciudad Madero - Buenos Aires,,http://www.medicraftsalud.com,https://www.instagram.com/medicraft_salud/,https://www.facebook.com/100064178106412,,Paginas Amarillas,93,A,whatsapp
Comercial 9 de Julio,Contenedores,logistica@comercial9dejulio.com.ar,+542317433110,+5492317555562,+5492317555562,RN5 265,9 de Julio - Buenos Aires,,http://www.comercial9dejulio.com.ar/,https://www.instagram.com/comercial9dejulio/,https://www.facebook.com/comercial9dejulio,,Paginas Amarillas,93,A,whatsapp
Contenedores Norte,Contenedores,contenedoresnorte@hotmail.com,+5491133754697,+5491157445622,+5491157445622,Pasaje 82 951,San Andrés - Buenos Aires,,http://www.contenedoresnorte.com,https://www.instagram.com/nortecontenedores/,https://www.facebook.com/contenedores-norte-115714866961079,,Paginas Amarillas,93,A,whatsapp
Expreso Garmendia SA - Servicio Diario,Contenedores,expgarmendialob@loberia.com.ar,+542262438952,+5491161663727,+5491161663727,Santo Domingo 3930,Parque Patricios - Ciudad de Buenos Aires,,http://www.expresogarmendiasa.com,https://www.instagram.com/expresogarmendia/,https://www.facebook.com/ExpresoGarmendiaSA,,Paginas Amarillas,93,A,whatsapp
Metalbert SRL,Contenedores,ventasmetalbertsrl@gmail.com,+5493564584834,+5493564584834,+5493564584834,R Güiraldes 575,La Francia - Cordoba,,http://www.metalbertsrl.com,https://www.instagram.com/metalbert_srl/,https://www.facebook.com/metalbert-srl-110786783627590,,Paginas Amarillas,93,A,whatsapp
Altoplagas,Control De Plagas,alto_plagas@hotmail.com,+5491168563942,+5491168563942,+5491168563942,Brandsen 2033,Barracas - Ciudad de Buenos Aires,,http://www.fumigadoraltoplagas.com,https://www.instagram.com/alto.plagas/,https://www.facebook.com/altoplagasfumigaciones,,Paginas Amarillas,93,A,whatsapp
Beas Ambiental,Control De Plagas,beasambiental@gmail.com,+5493516457899,+5493516457899,+5493516457899,Av Armada Argentina 1527,Córdoba - Cordoba,,http://beasambiental.com.ar/index.php,https://www.instagram.com/beasambiental/,https://www.facebook.com/BeasCalidadAmbiental/,,Paginas Amarillas,93,A,whatsapp
CyM Control de Plagas,Control De Plagas,info@controldeplagas.com,+5491169584139,+5491134431217,+5491134431217,S Bolívar 446 Piso 2,Ramos Mejía - Buenos Aires,,http://www.cymcontroldeplagas.com,https://www.instagram.com/cymfumigaciones,https://www.facebook.com/cymcontroldeplagas-634714820488033,,Paginas Amarillas,93,A,whatsapp
M & e Desinfecciones,Control De Plagas,ponyarcos@hotmail.com,+5493541557791,+5493541557791,+5493541557791,San Jorge 269,Cosquín - Cordoba,,http://www.myedesinfecciones.com,https://www.instagram.com/myedesinfecciones/,https://www.facebook.com/eli.desinfecciones,,Paginas Amarillas,93,A,whatsapp
Plaga Express SRL,Control De Plagas,plagaexpress@gmail.com,+543414360076,+5493416249383,+5493416249383,Av N Avellaneda 885,Rosario - Santa Fe,,http://www.redesparabalcones.com,https://www.instagram.com/plagaexpressar,https://www.facebook.com/plagaexpressar,,Paginas Amarillas,93,A,whatsapp
Abadjian y Cía,Cortinas,contacto@abadjianycia.com.ar,+541149516584,+5491173636495,+5491173636495,Azcuénaga 240,Once (Balvanera) - Ciudad de Buenos Aires,,http://www.abadjianycia.com,https://www.instagram.com/abadjianycia/,https://www.facebook.com/abadjianycia/,,Paginas Amarillas,93,A,whatsapp
Isho Pelucas,Cortinas,ishopelucas@gmail.com,+541149518266,+5491149386686,+5491149386686,Lavalle 2088,Once (Balvanera) - Ciudad de Buenos Aires,,http://www.ishopelucas.com.ar,https://www.instagram.com/explore/locations/549705941846684/isho-pelucas-hair-design/?hl=es-la,https://www.facebook.com/ishopelucashd,,Paginas Amarillas,93,A,whatsapp
Guintex S.A.,Cortinas De Enrollar,alerc57@yahoo.com.ar,+541149510615,+5491127577301,+5491127577301,Azcuénaga 469,Once (Balvanera) - Ciudad de Buenos Aires,,http://www.guintexsa.com,https://www.instagram.com/guintex.textil/,https://www.facebook.com/guintextextil-100933365068813,,Paginas Amarillas,93,A,whatsapp
Littleshade,Cortinas De Enrollar,info@littleshade.com.ar,+5491121735555,+5491121735555,+5491121735555,Av San Martín 2732,Florida - Buenos Aires,,http://www.littleshade.com,https://www.instagram.com/cortinasytoldoslittleshade,https://www.facebook.com/littleshadecortinasytoldos,,Paginas Amarillas,93,A,whatsapp
Roller & Modern - Fabricación y Venta de Cortinas Roller,Cortinas De Enrollar,jmbvera@hotmail.com,+5492215767665,+5492215767665,+5492215767665,139 317,La Plata - Buenos Aires,,http://www.rollermodern.com,https://www.instagram.com/rollermodern/,https://www.facebook.com/profile.php?id=100066332928329,,Paginas Amarillas,93,A,whatsapp
Avellius - Fragancias y Cosméticos de Malena Paladini,Cosmetica,malenampaladini@gmail.com,+5493541686383,+5493541686383,+5493541686383,9 De Julio 70,Villa Carlos Paz - Cordoba,,https://avelliusperfumeria.mitiendanube.com/,https://www.instagram.com/avellius/?hl=es,https://www.facebook.com/avellius.fragancias,,Paginas Amarillas,93,A,whatsapp
El Aguijón - Insumos e Indumentaria Apícola,Cosmetica,el.aguijon@live.com,+5491130483777,+5491124595815,+5491124595815,Matorras 2623,Parque San Martín - Buenos Aires,,http://www.el-aguijon.com,https://www.instagram.com/elaguijon.ok/?hl=es-la,https://www.facebook.com/elaguijon.ok,,Paginas Amarillas,93,A,whatsapp
El Camarín - Tienda de Arte,Cosmetica,elcamarintiendadearte@gmail.com,+5492235644954,+5492235644954,+5492235644954,Jujuy 1721,Mar del Plata - Buenos Aires,,https://www.facebook.com/ElCamarinTiendaDeArte,https://www.instagram.com/elcamarintiendadearte/?hl=es-la,https://www.facebook.com/elcamarintiendadearte,,Paginas Amarillas,93,A,whatsapp
Farmacia Central de Avellaneda,Cosmetica,central.avellaneda@hotmail.com,+541142017600,+5491159894285,+5491159894285,Av B Mitre 401,Avellaneda - Buenos Aires,,http://www.farmaciacentraldeavellaneda.com,https://www.instagram.com/farmaciacentralavellaneda/,https://www.facebook.com/farmaciacentralavellanedaa/mentions/,,Paginas Amarillas,93,A,whatsapp
Lubrik Gel Intimo,Cosmetica,carinaterraneodermo@gmail.com,+5491158839877,+5491126458734,+5491126458734,Llame al S/N,Coghlan - Ciudad de Buenos Aires,,https://www.lubrikgelintimo.com,https://www.instagram.com/lubrikgelintimo/,https://www.facebook.com/lubrij,,Paginas Amarillas,93,A,whatsapp
Marybe Perfumerías,Cosmetica,marybe@arnetbiz.com.ar,+543854211687,+5493854211687,+5493854211687,Pellegrini 141,Santiago del Estero - Santiago del Estero,,https://www.marybe.com.ar/,https://www.instagram.com/PERFUMERIASMARYBE/,https://www.facebook.com/marybeperfumerias,,Paginas Amarillas,93,A,whatsapp
Medical Next - Medicina General,Cosmetica,medicalnext@yahoo.com.ar,+542994485552,+5492995896379,+5492995896379,Sgto Cabral 595,Neuquén - Neuquen,,http://www.medicalnextneuquen.com,https://www.instagram.com/medicalnext/,https://www.facebook.com/licelizabeth-ugartemendia-1612937368961988,,Paginas Amarillas,93,A,whatsapp
Angeles y Demonios,Cotillon,angelesydemoniosfiestas@yahoo.com.ar,+541149028520,+5491165991832,+5491165991832,Colpayo 759,Caballito - Ciudad de Buenos Aires,,https://angelesydemonios.com.ar/,https://www.instagram.com/angelesydemoniossalondefiestas/,https://www.facebook.com/angelesydemoniosfiestas,,Paginas Amarillas,93,A,whatsapp
Arco Iris Cotillon,Cotillon,arcoiris@cotillonarcoiris.com,+543514235735,+5493516174567,+5493516174567,Entre Ríos 232,Córdoba - Cordoba,,http://www.cotillonarcoiris.com,https://www.instagram.com/cotillonarcoiris,https://www.facebook.com/cotiarcoiris,,Paginas Amarillas,93,A,whatsapp
Chivilcoy Bolsas,Cotillon,info@chivilcoybolsas.com.ar,+542346423952,+5492346578661,+5492346578661,Guido 323,Chivilcoy - Buenos Aires,,http://www.chivilcoybolsas.com.ar,https://www.instagram.com/chivilcoybolsas/,https://www.facebook.com/chivilcoybolsas,,Paginas Amarillas,93,A,whatsapp
Cotillon Magia,Cotillon,solegiachero@gmail.com,+5493586003108,+5493586003108,+5493586003108,Maipú 2199,Río Cuarto - Cordoba,,https://www.instagram.com/cotillonmagia/,https://www.instagram.com/cotillonmagia/,https://www.facebook.com/magiacotillon,,Paginas Amarillas,93,A,whatsapp
Cotillón Colores Burzaco,Cotillon,rosoguerreiro18@gmail.com,+5491134620089,+5491134620089,+5491134620089,J V González 2000,Burzaco - Buenos Aires,,ttp://cotilloncolores.com.ar,https://instagram.com/cotillon.coloresburzaco,https://www.facebook.com/cotillon.coloresburzaco,,Paginas Amarillas,93,A,whatsapp
Cotillón Peter Pan,Cotillon,gabypla@hotmail.com,+5493468561262,+5493468561262,+5493468561262,Av Argentina 536,Corral de Bustos - Cordoba,,https://www.instagram.com/cotillon.peterpan,https://www.instagram.com/cotillon.peterpan/,https://www.facebook.com/peterpancotillon,,Paginas Amarillas,93,A,whatsapp
Cotillón Rocío,Cotillon,francoabreu14@hotmail.com,+5493416694003,+5493416694003,+5493416694003,Bv Alte F Seguí 5359,Rosario - Santa Fe,,http://www.cotillonrocio.com,https://www.instagram.com/cotillonrocio2005/?hl=es,https://www.facebook.com/cotillon.rocio.9,,Paginas Amarillas,93,A,whatsapp
Cotillón Rocío,Cotillon,cotillonrocio2005@hotmail.com,+5493416881333,+5493416881333,+5493416881333,Larrea 3033,Rosario - Santa Fe,,http://www.cotillonrocio.com,https://www.instagram.com/cotillonrocio2005/,https://www.facebook.com/cotillon.rocio.9,,Paginas Amarillas,93,A,whatsapp
Distribuidora Tito S.A,Cotillon,vivalafiestacotillontito@gmail.com,+542920462246,+5492920414024,+5492920414024,Mariano Zambonini 380,Carmen de Patagones - Buenos Aires,,http://www.cotillontito.com,https://www.instagram.com/cotillon_tito,https://www.facebook.com/vivalafiestatito.cotillon,,Paginas Amarillas,93,A,whatsapp
El Granel,Cotillon,arimarinelli.elgranel@gmail.com,+5492215463386,+5492215463386,+5492215463386,197 645,La Plata - Buenos Aires,,https://www.elgranel.com.ar/,https://www.instagram.com/el_granel/,https://www.facebook.com/el-granel-984498051648633,,Paginas Amarillas,93,A,whatsapp
Lupack Cotillón Descartable,Cotillon,juanmafabbro@gmail.com,+5493444462649,+5493444416189,+5493444416189,H Yrigoyen 25,Gualeguay - Entre Rios,,http://www.lupackdescartables.com,https://www.instagram.com/lupackcotillon/?hl=es,https://www.facebook.com/lupackdescartable,,Paginas Amarillas,93,A,whatsapp
Magic Home,Cotillon,magichome.muebles@gmail.com,+5493484362289,+5493484367721,+5493484367721,Reina Elena 647 3,Matheu - Buenos Aires,,www.magichomedeco.com.ar,https://www.instagram.com/magichomemy/,https://www.facebook.com/magichomemuebles,,Paginas Amarillas,93,A,whatsapp
Mangplast,Cotillon,mangplastbolsas@gmail.com,+5491169469660,+5491169469660,+5491169469660,Brasil 3472,Lanús - Buenos Aires,,http://www.mangplastsrl.com,https://www.instagram.com/mangplast/,https://www.facebook.com/Mangplast.IndustriaPlastica,,Paginas Amarillas,93,A,whatsapp
Papelera Mercedes SRL,Cotillon,papeleramercedes@gmail.com,+543755420291,+5493755682470,+5493755682470,Corrientes 121,Oberá - Misiones,,http://www.papeleramercedes.com.ar,https://www.instagram.com/papeleramercedes/,https://www.facebook.com/papelera-mercedes-srl-892773894409758,,Paginas Amarillas,93,A,whatsapp
